Chromosome	start	end	ZmGene	days2anthesis
chr8	11380913	13033666	VGT1	autonomous
chr1	14810093	14963230	D8	GA
chr1	15091033	15244437	KN1	GA
chr5	818825	991750	D9	GA
chr6	10094828	10295435	GA2ox1	GA
chr1	15419019	15573632	ZMM4	integrator
chr9	14750616	14852771	ZMM5	integrator
chr8	10536985	10714460	ZmRAP2.7	integrator
chr10	10966015	11157238	ZFL1	integrator
chr4	7385860	7581417	ZCN2	integrator
chr2	18127550	18228483	ZAP1	integrator
chr2	908088	1108836	ZFL2	integrator
chr7	76987	278161	ZAP1b	integrator
chr8	9833969	10011281	ZCN8	photoperiod
chr9	9457718	9658338	GL15	aging
chr3	440722	640786	miR156	aging
chr3	11210791	11410900	miR172	aging
