Chromosome	start	end	Name	colour
chr1	11670	36012	1_0.260105421	blue6
chr1	61741	104639	1_0.946376023	blue9
chr1	84639	108153	1_0.946419507	blue9
chr1	116305	157306	1_1.36772773	blue9
chr1	210906	251553	1_2.415513632	blue8
chr1	269266	292686	1_2.826841425	blue9
chr1	293680	318876	1_3.036823436	blue9
chr1	309232	334396	1_3.243945191	blue9
chr1	318941	348009	1_3.334847496	blue10
chr1	337032	361534	1_3.515319211	blue9
chr1	341538	388415	1_3.515406179	blue8
chr1	368415	415292	1_4.052898947	blue9
chr1	395292	415296	1_4.052942431	blue9
chr1	405093	431611	1_4.18355237	blue10
chr1	411611	434870	1_4.248684616	blue9
chr1	461954	508970	1_4.989679284	blue7
chr1	510404	537590	1_5.275858708	blue6
chr1	517590	537600	1_5.275955941	blue5
chr1	527855	554654	1_5.412623985	blue6
chr1	534654	558049	1_5.480475763	blue7
chr1	553424	578524	1_5.685223428	blue7
chr1	598488	638511	1_6.285094836	blue8
chr1	618520	645514	1_6.285225288	blue8
chr1	625514	659559	1_6.425058243	blue9
chr1	660870	680874	1_6.70872285	blue9
chr1	681670	743258	1_7.12464343	blue1
chr1	723258	764054	1_7.540520525	blue8
chr1	744054	767556	1_7.540564009	blue9
chr1	761484	784950	1_7.749484126	blue8
chr1	764950	788416	1_7.74952761	blue9
chr1	782344	805846	1_7.958447727	blue8
chr1	785846	811073	1_7.958491211	blue6
chr1	806659	836872	1_8.166620942	blue7
chr1	816872	847084	1_8.370827119	blue7
chr1	842431	867554	1_8.575521036	blue7
chr1	847554	877915	1_8.575564519	blue7
chr1	873547	904042	1_8.888154071	blue7
chr1	884042	909271	1_8.992689705	blue5
chr1	889294	930672	1_8.993068372	blue4
chr1	910672	1009241	1_9.420379414	blue4
chr1	989241	1066446	1_10.56444688	blue9
chr1	1046451	1066455	1_10.56453385	blue7
chr1	1046455	1081497	1_10.56457734	blue8
chr1	1061497	1096538	1_10.86536764	blue9
chr1	1106118	1155700	1_11.45695531	blue9
chr1	1135710	1155717	1_11.45714977	blue8
chr1	1146798	1177870	1_11.67868624	blue9
chr1	1176645	1200375	1_11.90373151	blue7
chr1	1191303	1222230	1_12.1222875	blue8
chr1	1218519	1243943	1_12.33941231	blue8
chr1	1241956	1271054	1_12.55552896	blue7
chr1	1278722	1309794	1_12.99792802	blue6
chr1	1345196	1376099	1_13.6609733	blue4
chr1	1372414	1397822	1_13.87820561	blue8
chr1	1410089	1462343	1_14.52341357	blue3
chr1	1496127	1548528	1_15.38525921	blue5
chr1	1528528	1548532	1_15.38530269	blue2
chr1	1560887	1591624	1_15.816226	blue5
chr1	1571624	1591629	1_15.81626948	blue5
chr1	1624551	1655291	1_16.45289554	blue8
chr1	1635291	1666032	1_16.45293903	blue2
chr1	1646032	1676772	1_16.66770101	blue3
chr1	1656776	1698452	1_16.66778797	blue7
chr1	1705553	1736358	1_17.20973537	blue7
chr1	1716358	1741744	1_17.31742538	blue7
chr1	1809549	1829554	1_18.19551857	blue1
chr1	1853482	1873487	1_18.63484946	blue4
chr1	1923434	1957610	1_19.41945534	blue1
chr1	1966171	1986176	1_19.76173853	blue4
chr1	1989206	2032236	1_20.22234362	blue3
chr1	2012240	2038160	1_20.22243059	blue5
chr1	2055654	2079572	1_20.69570236	blue1
chr1	2079421	2103362	1_20.93360065	blue1
chr1	2146282	2197865	1_21.87863271	blue1
chr1	2201670	2245467	1_22.35465042	blue4
chr1	2225471	2245475	1_22.35473739	blue3
chr1	2245530	2269565	1_22.59562881	blue3
chr1	2320569	2361618	1_23.51616353	blue7
chr1	2356000	2380790	1_23.70788422	blue4
chr1	2392715	2444640	1_24.34638317	blue6
chr1	2437225	2469801	1_24.59799336	blue10
chr1	2501321	2572836	1_25.62834602	blue9
chr1	2552841	2577057	1_25.62843299	blue9
chr1	2573941	2610939	1_25.88169911	blue8
chr1	2726216	2769385	1_27.59383584	blue7
chr1	2749385	2769390	1_27.59387933	blue3
chr1	2799203	2829034	1_28.19031873	blue3
chr1	2850809	2876719	1_28.66717728	blue3
chr1	2885963	2917630	1_29.01789245	blue1
chr1	2913940	2954859	1_29.34409484	blue1
chr1	2955767	2986227	1_29.7622519	blue2
chr1	2966231	3001989	1_29.76233886	blue5
chr1	2997747	3029665	1_30.07749979	blue6
chr1	3009665	3041583	1_30.31581157	blue6
chr1	3021583	3066025	1_30.31585506	blue1
chr1	3046025	3090467	1_30.80465026	blue4
chr1	3070467	3115216	1_30.80469374	blue3
chr1	3095216	3152290	1_31.29964486	blue3
chr1	3163181	3220024	1_31.9173751	blue4
chr1	3200024	3238313	1_32.2831163	blue3
chr1	3236527	3262562	1_32.52559936	blue4
chr1	3242562	3274284	1_32.52564284	blue3
chr1	3254284	3297657	1_32.76004284	blue5
chr1	3358971	3378975	1_33.68973228	blue2
chr1	3393070	3447166	1_34.37164074	blue7
chr1	3427170	3447174	1_34.37172771	blue4
chr1	3427174	3447179	1_34.37177119	blue4
chr1	3460599	3514019	1_35.04017436	blue6
chr1	3541027	3568131	1_35.54576288	blue5
chr1	3548131	3575247	1_35.61687653	blue6
chr1	3569616	3605976	1_35.904259	blue3
chr1	3602725	3633922	1_36.12727827	blue2
chr1	3613922	3645119	1_36.35117618	blue1
chr1	3625119	3656443	1_36.35121966	blue5
chr1	3636443	3667766	1_36.57764269	blue1
chr1	3670591	3713411	1_37.03409778	blue1
chr1	3693411	3713414	1_37.03414126	blue2
chr1	3818123	3849122	1_38.39120789	blue4
chr1	3865846	3893134	1_38.8313193	blue7
chr1	3873138	3893142	1_38.83140627	blue6
chr1	3937568	3986782	1_39.6206646	blue10
chr1	3981500	4001502	1_39.91502818	blue7
chr1	4111550	4131554	1_41.21552774	blue8
chr1	4127385	4152634	1_41.42632326	blue9
chr1	4148201	4183573	1_41.63362922	blue9
chr1	4184120	4214458	1_42.04456668	blue7
chr1	4194458	4214463	1_42.04461016	blue8
chr1	4254019	4277540	1_42.67538164	blue8
chr1	4279032	4320524	1_43.10522819	blue8
chr1	4322005	4345637	1_43.32007713	blue1
chr1	4332918	4360242	1_43.46570702	blue1
chr1	4340242	4363917	1_43.53915127	blue7
chr1	4404841	4434130	1_44.20439673	blue9
chr1	4443672	4474721	1_44.64719721	blue5
chr1	4465697	4496673	1_44.8667177	blue1
chr1	4476673	4507601	1_44.86676118	blue4
chr1	4487601	4523958	1_45.08527368	blue4
chr1	4514857	4540327	1_45.30325306	blue7
chr1	4531425	4570258	1_45.5252117	blue5
chr1	4565711	4593428	1_45.83426786	blue6
chr1	4603157	4652885	1_46.42883638	blue4
chr1	4636486	4663661	1_46.50076353	blue1
chr1	4650825	4674406	1_46.64404228	blue2
chr1	4659772	4690490	1_46.75137416	blue2
chr1	4670490	4695845	1_46.85843487	blue2
chr1	4764218	4784223	1_47.7422112	blue4
chr1	4775556	4803124	1_47.89336955	blue5
chr1	4798289	4829665	1_48.19662916	blue3
chr1	4939298	4964944	1_49.54942393	blue5
chr1	4956141	4987338	1_49.77336532	blue3
chr1	4985738	5009413	1_49.99413048	blue3
chr1	5011818	5054221	1_50.44219641	blue5
chr1	5053014	5076794	1_50.66792483	blue5
chr1	5068092	5099390	1_50.89388221	blue6
chr1	5101653	5154881	1_51.33909772	blue4
chr1	5156928	5188001	1_51.77999101	blue2
chr1	5212812	5255320	1_52.2281437	blue3
chr1	5235320	5277829	1_52.67826902	blue3
chr1	5257829	5277833	1_52.6783125	blue3
chr1	5257833	5277837	1_52.67835599	blue1
chr1	5257842	5289154	1_52.67844295	blue8
chr1	5269154	5311857	1_52.90463829	blue1
chr1	5303257	5323262	1_53.13260138	blue2
chr1	5303262	5323266	1_53.13264487	blue1
chr1	5326399	5369532	1_53.5952993	blue2
chr1	5349532	5373379	1_53.59534278	blue5
chr1	5384145	5415652	1_54.05649963	blue4
chr1	5418995	5450717	1_54.28997733	blue4
chr1	5454436	5482379	1_54.68419322	blue1
chr1	5462379	5486341	1_54.76339119	blue6
chr1	5485605	5509452	1_54.99450483	blue3
chr1	5539116	5566707	1_55.52924733	blue4
chr1	5554251	5578015	1_55.6801345	blue2
chr1	5563545	5594637	1_55.79072825	blue4
chr1	5574637	5600203	1_55.90201533	blue3
chr1	5580203	5622414	1_55.90205882	blue2
chr1	5624628	5644633	1_56.34630976	blue2
chr1	5624633	5655632	1_56.34635325	blue1
chr1	5635632	5677749	1_56.56630616	blue5
chr1	5657749	5688869	1_56.78867669	blue9
chr1	5668869	5694495	1_56.78872017	blue6
chr1	5674495	5705695	1_56.90119943	blue6
chr1	5685695	5711273	1_57.01271419	blue7
chr1	5702249	5733225	1_57.23223468	blue6
chr1	5724130	5755035	1_57.45033529	blue9
chr1	5745869	5776703	1_57.66701601	blue8
chr1	5756708	5788136	1_57.66710298	blue10
chr1	5768136	5811126	1_57.89562896	blue8
chr1	5791126	5834390	1_58.12690774	blue7
chr1	5826092	5846097	1_58.36094959	blue10
chr1	5826101	5846105	1_58.36103656	blue8
chr1	5826105	5857508	1_58.36108004	blue10
chr1	5837508	5868911	1_58.58909689	blue10
chr1	5872492	5916073	1_59.06071392	blue7
chr1	5896077	5922173	1_59.06080089	blue10
chr1	5914416	5940567	1_59.30565804	blue9
chr1	5920572	5940576	1_59.30574501	blue10
chr1	5995621	6021835	1_60.05623678	blue10
chr1	6001835	6034198	1_60.18046389	blue10
chr1	6014198	6040352	1_60.30349882	blue10
chr1	6020352	6052444	1_60.3035423	blue8
chr1	6032444	6064536	1_60.54534371	blue10
chr1	6044536	6076777	1_60.5453872	blue10
chr1	6056777	6089019	1_60.79016911	blue10
chr1	6081559	6109855	1_60.95721466	blue8
chr1	6089855	6113992	1_61.03990219	blue10
chr1	6112169	6138240	1_61.28238525	blue6
chr1	6167365	6211878	1_62.01875875	blue3
chr1	6216331	6260784	1_62.50782514	blue2
chr1	6266312	6303560	1_62.84886314	blue6
