Chromosome	start	end	ZmGene	days2anthesis
chr1	15736244	15897410	PhyA1	transduction
chr1	2779622	2940969	PhyB1	transduction
chr1	16185688	16346654	PhyC1	transduction
chr5	735666	921078	PhyA2	transduction
chr5	498457	683689	PhyC2	transduction
chr9	13035258	13233084	PhyB2	transduction
chr9	3436149	3633777	COL1	photoperiod
chr10	6875400	7054407	ZmCCT	photoperiod
chr9	13376079	13574059	ZmPRR73	clock
chr8	1638466	1819372	GIGZ1A	clock
chr3	565210	748198	GIGZ1B	clock
chr10	5673525	5852408	ZmCCA1	clock
chr10	5673525	5852408	ZmLHY1	clock
chr4	11066732	11216690	ZmFKF1a	clock
chr4	1588694	7861979	ZmLHY2	clock
chr4	7440062	7590008	ZmTOC1	clock
chr2	16770824	16961621	ZmFKF1b	clock
chr2	16973630	17340444	ZmHD6	clock
chr1	13981408	14142273	ID1	autonomous
chr3	11055601	11238514	ZmLD	autonomous
chr10	892654	6487262	LDL1	autonomous
chr2	11067494	13738902	FCA	autonomous
chr7	13543816	13733342	DLF1	integrator_clock
chr7	13541344	13543816	ZmPRR37	clock
chr8	13053787	13234326	ZmHy2	transduction_clock
chr8	11576698	13053787	LUX	clock
chr8	13234326	13257884	LUX	clock
chr8	10003143	10183505	ZCN8	photoperiod
chr9	9311989	9509518	GL15	aging
chr3	401338	583524	miR156	aging
chr3	10208964	10391191	miR172	aging
