Chromosome	start	end	ZmGene	days2anthesis
chr1	14982526	15135972	PhyA1	transduction
chr1	2646487	2800106	PhyB1	transduction
chr1	15410443	15563699	PhyC1	transduction
chr5	687379	860620	PhyA2	transduction
chr5	465739	638813	PhyC2	transduction
chr9	13239254	13440176	PhyB2	transduction
chr9	3489924	3690644	COL1	photoperiod
chr10	7343075	7534258	ZmCCT	photoperiod
chr9	13585409	13786487	ZmPRR73	clock
chr8	1610756	1788603	GIGZ1A	clock
chr3	620675	821620	GIGZ1B	clock
chr10	6059447	6250498	ZmCCA1	clock
chr10	6059447	6250498	ZmLHY1	clock
chr4	14441503	14637191	ZmFKF1a	clock
chr4	2073163	10259468	ZmLHY2	clock
chr4	9708890	9904561	ZmTOC1	clock
chr2	17629692	17830260	ZmFKF1b	clock
chr2	17842884	18228483	ZmHD6	clock
chr1	13311741	13464901	ID1	autonomous
chr3	12140510	12341373	ZmLD	autonomous
chr10	953374	6928535	LDL1	autonomous
chr2	11634283	14442499	FCA	autonomous
chr7	14319332	14519710	DLF1	integrator_clock
chr7	14316718	14319332	ZmPRR37	clock
chr8	12833021	13010507	ZmHy2	transduction_clock
chr8	11380913	12833021	LUX	clock
chr8	13010507	13033666	LUX	clock
chr8	9833969	10011281	ZCN8	photoperiod
chr9	9457718	9658338	GL15	aging
chr3	440722	640786	miR156	aging
chr3	11210791	11410900	miR172	aging
