Chromosome	start	end	ZmGene	days2anthesis
chr8	12864404	14732592	VGT1	autonomous
chr1	19383095	19583517	D8	GA
chr1	19750783	19951554	KN1	GA
chr5	949436	1149945	D9	GA
chr6	10094828	10295435	GA2ox1	GA
chr1	20180043	20382396	ZMM4	integrator
chr9	14750616	14852771	ZMM5	integrator
chr8	11910471	12111080	ZmRAP2.7	integrator
chr10	11498176	11698678	ZFL1	integrator
chr4	7565238	7765544	ZCN2	integrator
chr2	18127550	18228483	ZAP1	integrator
chr2	908088	1108836	ZFL2	integrator
chr7	76987	278161	ZAP1b	integrator
chr8	11115818	11316242	ZCN8	photoperiod
chr9	9457718	9658338	GL15	aging
chr3	441119	641363	miR156	aging
chr3	11220879	11421168	miR172	aging
