Chromosome	start	end	Name	colour
chr2	8626646	21586	2_0	red4
chr8	0	10002	8_0	red4
chr1	5248	25252	1_0.152502353	red10
chr1	33320	58190	1_0.457595866	red10
chr1	91230	121158	1_1.061795696	red10
chr1	309374	329378	1_3.193767435	red5
chr1	371909	406468	1_3.81911567	red3
chr1	387429	407433	1_3.974316271	red1
chr1	402987	437464	1_4.129895817	red2
chr1	499225	540848	1_5.092272519	red3
chr1	477610	519233	1_5.092316002	red2
chr1	515105	535110	1_5.251080341	red1
chr1	543175	570311	1_5.567397104	red4
chr1	562374	585976	1_5.723766827	red3
chr1	574505	601724	1_5.881047681	red1
chr1	594008	621247	1_6.040106544	red4
chr1	602621	629881	1_6.198796529	red4
chr1	618478	645738	1_6.3573668	red3
chr1	627062	661644	1_6.516425663	red7
chr1	673514	693516	1_6.83516325	red5
chr1	674687	709287	1_6.992855992	red6
chr1	728685	755998	1_7.459964837	red7
chr1	766498	786503	1_7.765011252	red10
chr1	781801	801805	1_7.918032135	red8
chr1	797098	820690	1_8.071009535	red8
chr1	825143	863655	1_8.536534886	red10
chr1	887566	912480	1_9.000272532	red8
chr1	887589	910038	1_9.0003595	red8
chr1	904828	939607	1_9.296053107	red7
chr1	980485	1000489	1_9.904873976	red6
chr1	1003379	1038251	1_10.20818943	red8
chr1	1026024	1053502	1_10.36026913	red2
chr1	1033870	1061348	1_10.51346431	red7
chr1	1041348	1063882	1_10.51350779	red9
chr1	1038823	1063878	1_10.51355127	red1
chr1	1069810	1094846	1_10.82333695	red8
chr1	1103516	1127201	1_11.13518213	red3
chr1	1146600	1170304	1_11.60302785	red8
chr1	1196965	1216969	1_12.06967188	red9
chr1	1236406	1258912	1_12.46408475	red9
chr1	1337036	1357040	1_13.47038532	red9
chr1	1334759	1362292	1_13.52290251	red9
chr1	1350218	1375229	1_13.6272333	red10
chr1	1426652	1451594	1_14.39127139	red8
chr1	1456537	1486375	1_14.68998166	red9
chr1	1473611	1493618	1_14.83613329	red6
chr1	1450546	1508181	1_14.9817967	red9
chr1	1645876	1673355	1_16.59618073	red9
chr1	1669383	1696870	1_16.79385281	red9
chr1	1661904	1689391	1_16.7938963	red9
chr1	1715021	1743732	1_17.25030791	red10
chr1	1706333	1757576	1_17.25035139	red9
chr1	1707813	1773331	1_17.40354657	red9
chr1	1804445	1829625	1_18.17029828	red7
chr1	1798967	1842314	1_18.32312515	red7
chr1	1844667	1887835	1_18.77833331	red7
chr1	1853822	1902634	1_18.92632734	red7
chr1	1897629	1917633	1_19.07631639	red6
chr1	1974687	2002367	1_19.8468919	red4
chr1	1967052	1994700	1_19.84697887	red5
chr1	2029485	2053288	1_20.43286577	red5
chr1	2052615	2072620	1_20.62618098	red2
chr1	2099180	2119184	1_21.09182636	red3
chr1	2099184	2119189	1_21.09186985	red7
chr1	2127329	2152542	1_21.3993478	red7
chr1	2132404	2166780	1_21.45016369	red9
chr1	2158453	2195931	1_21.85929105	red7
chr1	2296334	2324115	1_23.10213331	red6
chr1	2296315	2320219	1_23.10217679	red8
chr1	2312406	2340272	1_23.30270821	red6
chr1	2373957	2425187	1_24.15185037	red4
chr1	2416262	2440068	1_24.30066778	red1
chr1	2441864	2501097	1_24.91095811	red4
chr1	2481097	2501102	1_24.91100159	red7
chr1	2542253	2562257	1_25.52255469	red3
chr1	2542257	2566251	1_25.52259818	red2
chr1	2538272	2566278	1_25.52264166	red6
chr1	2573106	2601167	1_25.83108413	red3
chr1	2580532	2608544	1_25.98542764	red2
chr1	2572771	2608553	1_25.98551461	red3
chr1	2679211	2707066	1_26.93127303	red2
chr1	2722877	2750658	1_27.40656414	red2
chr1	2730658	2773612	1_27.40660762	red1
chr1	2762587	2782591	1_27.72589783	red1
chr1	2771076	2798520	1_27.88518398	red1
chr1	2771108	2798529	1_27.88527095	red1
chr1	2854132	2877976	1_28.67974431	red2
chr1	2857976	2877980	1_28.67978779	red1
chr1	2934491	2959811	1_29.4714918	red2
chr1	3000236	3020240	1_30.10238567	red5
chr1	3048297	3075922	1_30.58299856	red3
chr1	3063016	3100016	1_30.9001391	red6
chr1	3068234	3105378	1_30.9537615	red2
chr1	3085376	3116162	1_31.06160237	red7
chr1	3117357	3170105	1_31.27360033	red10
