Chromosome	start	end	ZmGene	days2anthesis
chr1	19608771	19809598	PhyA1	transduction
chr1	3463659	3664712	PhyB1	transduction
chr1	20168819	20369397	PhyC1	transduction
chr5	797023	997898	PhyA2	transduction
chr5	540030	740711	PhyC2	transduction
chr9	13239254	13440176	PhyB2	transduction
chr9	3489924	3690644	COL1	photoperiod
chr10	7699421	7899882	ZmCCT	photoperiod
chr9	13585409	13786487	ZmPRR73	clock
chr8	1820717	2021746	GIGZ1A	clock
chr3	621234	822360	GIGZ1B	clock
chr10	6353501	6553823	ZmCCA1	clock
chr10	6353501	6553823	ZmLHY1	clock
chr4	14792238	14992678	ZmFKF1a	clock
chr4	2123513	10508636	ZmLHY2	clock
chr4	9944686	10145109	ZmTOC1	clock
chr2	17629692	17830260	ZmFKF1b	clock
chr2	17842884	18228483	ZmHD6	clock
chr1	17422088	17622540	ID1	autonomous
chr3	12151435	12352478	ZmLD	autonomous
chr10	999640	7264764	LDL1	autonomous
chr2	11634283	14442499	FCA	autonomous
chr7	14319332	14519710	DLF1	integrator_clock
chr7	14316718	14319332	ZmPRR37	clock
chr8	14505793	14706414	ZmHy2	transduction_clock
chr8	12864404	14505793	LUX	clock
chr8	14706414	14732592	LUX	clock
chr8	11115818	11316242	ZCN8	photoperiod
chr9	9457718	9658338	GL15	aging
chr3	441119	641363	miR156	aging
chr3	11220879	11421168	miR172	aging
