Chromosome_A,Start_A,End_A,Chromosome_B,Start_B,End_B
chr1,0,0,chr8,5888012,5888012
chr1,0,0,chr8,6033278,6033278
chr1,140113,140113,chr2,4281561,4281561
chr1,140113,140113,chr8,5991475,5991475
chr1,358151,358151,chr1,8604248,8604248
chr1,358151,358151,chr1,9026997,9026997
chr1,358151,358151,chr2,4614479,4614479
chr1,358151,358151,chr2,5505655,5505655
chr1,358151,358151,chr8,5888012,5888012
chr1,358151,358151,chr8,5991475,5991475
chr1,358151,358151,chr8,6033278,6033278
chr1,692386,692386,chr4,6384610,6384610
chr1,692386,692386,chr8,5826404,5826404
chr1,892695,892695,chr3,8064083,8064083
chr1,892695,892695,chr8,5991475,5991475
chr1,892695,892695,chr9,6364446,6364446
chr1,923027,923027,chr1,5053413,5053413
chr1,923027,923027,chr7,9263784,9263784
chr1,963583,963583,chr8,5991475,5991475
chr1,1047256,1047256,chr1,4550019,4550019
chr1,1047256,1047256,chr8,5991475,5991475
chr1,1258311,1258311,chr2,2785066,2785066
chr1,1258311,1258311,chr8,5991475,5991475
chr1,1258311,1258311,chr8,6033278,6033278
chr1,1622067,1622067,chr8,5991475,5991475
chr1,2885426,2885426,chr8,5888012,5888012
chr1,2885426,2885426,chr8,5991475,5991475
chr1,2885426,2885426,chr10,7921329,7921329
chr1,2941730,2941730,chr8,5991475,5991475
chr1,3037206,3037206,chr8,6033278,6033278
chr1,3056225,3056225,chr5,6881188,6881188
chr1,3056225,3056225,chr8,5888012,5888012
chr1,3056225,3056225,chr8,5991475,5991475
chr1,3186049,3186049,chr1,3460595,3460595
chr1,3186049,3186049,chr8,5991475,5991475
chr1,3442696,3442696,chr5,7820653,7820653
chr1,3442696,3442696,chr5,8832758,8832758
chr1,3442696,3442696,chr5,9386282,9386282
chr1,3442696,3442696,chr8,5888012,5888012
chr1,3442696,3442696,chr8,5991475,5991475
chr1,3460595,3460595,chr5,8471799,8471799
chr1,3460595,3460595,chr8,5991475,5991475
chr1,3587577,3587577,chr8,10608950,10608950
chr1,3678470,3678470,chr5,2424488,2424488
chr1,3678470,3678470,chr8,5991475,5991475
chr1,3957467,3957467,chr8,5826404,5826404
chr1,3957467,3957467,chr8,5888012,5888012
chr1,4140038,4140038,chr5,8107353,8107353
chr1,4140046,4140046,chr8,5888012,5888012
chr1,4248497,4248497,chr2,4995114,4995114
chr1,4248497,4248497,chr2,5469251,5469251
chr1,4248497,4248497,chr5,6584290,6584290
