Chromosome	start	end	Name	colour
chr1	11670	36012	1_0.260105421	blue9
chr1	61741	104639	1_0.946376023	blue10
chr1	84639	108153	1_0.946419507	blue10
chr1	116305	157306	1_1.36772773	blue10
chr1	186768	230906	1_2.002617172	blue10
chr1	210906	251553	1_2.415513632	blue10
chr1	269266	292686	1_2.826841425	blue10
chr1	293680	318876	1_3.036823436	blue10
chr1	309232	334396	1_3.243945191	blue10
chr1	318941	348009	1_3.334847496	blue10
chr1	337032	361534	1_3.515319211	blue10
chr1	341538	388415	1_3.515406179	blue9
chr1	368415	415292	1_4.052898947	blue10
chr1	395292	415296	1_4.052942431	blue10
chr1	405093	431611	1_4.18355237	blue10
chr1	411611	434870	1_4.248684616	blue10
chr1	461954	508970	1_4.989679284	blue9
chr1	510404	537590	1_5.275858708	blue8
chr1	517590	537600	1_5.275955941	blue9
chr1	527855	554654	1_5.412623985	blue8
chr1	534654	558049	1_5.480475763	blue9
chr1	553424	578524	1_5.685223428	blue9
chr1	598488	638511	1_6.285094836	blue9
chr1	618520	645514	1_6.285225288	blue9
chr1	625514	659559	1_6.425058243	blue10
chr1	660870	680874	1_6.70872285	blue10
chr1	681670	743258	1_7.12464343	blue6
chr1	723258	764054	1_7.540520525	blue9
chr1	744054	767556	1_7.540564009	blue9
chr1	761484	784950	1_7.749484126	blue9
chr1	764950	788416	1_7.74952761	blue10
chr1	782344	805846	1_7.958447727	blue9
chr1	785846	811073	1_7.958491211	blue7
chr1	806659	836872	1_8.166620942	blue9
chr1	816872	847084	1_8.370827119	blue8
chr1	842431	867554	1_8.575521036	blue8
chr1	847554	877915	1_8.575564519	blue9
chr1	873547	904042	1_8.888154071	blue8
chr1	884042	909271	1_8.992689705	blue6
chr1	889294	930672	1_8.993068372	blue6
chr1	910672	1009241	1_9.420379414	blue6
chr1	989241	1066446	1_10.56444688	blue9
chr1	1046451	1066455	1_10.56453385	blue8
chr1	1046455	1081497	1_10.56457734	blue8
chr1	1061497	1096538	1_10.86536764	blue9
chr1	1106118	1155700	1_11.45695531	blue9
chr1	1135710	1155717	1_11.45714977	blue8
chr1	1146798	1177870	1_11.67868624	blue9
chr1	1176645	1200375	1_11.90373151	blue8
chr1	1191303	1222230	1_12.1222875	blue6
chr1	1218519	1243943	1_12.33941231	blue8
chr1	1241956	1271054	1_12.55552896	blue7
chr1	1278722	1309794	1_12.99792802	blue6
chr1	1345196	1376099	1_13.6609733	blue6
chr1	1372414	1397822	1_13.87820561	blue9
chr1	1410089	1462343	1_14.52341357	blue3
chr1	1496127	1548528	1_15.38525921	blue4
chr1	1528528	1548532	1_15.38530269	blue2
chr1	1560887	1591624	1_15.816226	blue9
chr1	1571624	1591629	1_15.81626948	blue5
chr1	1624551	1655291	1_16.45289554	blue8
chr1	1635291	1666032	1_16.45293903	blue8
chr1	1646032	1676772	1_16.66770101	blue5
chr1	1656776	1698452	1_16.66778797	blue7
chr1	1705553	1736358	1_17.20973537	blue7
chr1	1716358	1741744	1_17.31742538	blue7
chr1	1809549	1829554	1_18.19551857	blue3
chr1	1853482	1873487	1_18.63484946	blue4
chr1	1923434	1957610	1_19.41945534	blue1
chr1	1966171	1986176	1_19.76173853	blue3
chr1	1989206	2032236	1_20.22234362	blue4
chr1	2012240	2038160	1_20.22243059	blue4
chr1	2055654	2079572	1_20.69570236	blue1
chr1	2079421	2103362	1_20.93360065	blue1
chr1	2146282	2197865	1_21.87863271	blue1
chr1	2201670	2245467	1_22.35465042	blue5
chr1	2225471	2245475	1_22.35473739	blue4
chr1	2245530	2269565	1_22.59562881	blue2
chr1	2320569	2361618	1_23.51616353	blue6
chr1	2356000	2380790	1_23.70788422	blue2
chr1	2392715	2444640	1_24.34638317	blue5
