Chromosome	start	end	Name	colour
chr8	0	10002	8_0	blue10
chr1	110633	139379	1_1.206355958	blue10
chr1	130111	158934	1_1.401134529	blue10
chr1	248604	273132	1_2.586067852	blue7
chr1	244084	273111	1_2.586111336	blue7
chr1	268120	297168	1_2.781224353	blue10
chr1	287677	316789	1_2.976793488	blue10
chr1	343678	368149	1_3.581476306	blue10
chr1	348149	377324	1_3.58151979	blue10
chr1	389062	412027	1_3.990644995	blue10
chr1	449149	475077	1_4.62112237	blue10
chr1	473030	497497	1_4.830325004	blue8
chr1	489123	513596	1_5.035940796	blue10
chr1	534047	554051	1_5.440493482	blue10
chr1	597232	626379	1_6.072347397	blue10
chr1	618395	641501	1_6.283977904	blue10
chr1	682384	711382	1_6.923863701	blue10
chr1	703456	727927	1_7.134583454	blue8
chr1	831961	870599	1_8.419639329	blue8
chr1	852262	872266	1_8.622643048	blue10
chr1	873363	902697	1_8.926956244	blue6
chr1	913024	942307	1_9.2302717	blue7
chr1	944215	973585	1_9.635834029	blue8
chr1	1013185	1039642	1_10.26405915	blue9
chr1	1037256	1057256	1_10.47256846	blue8
chr1	1184925	1214345	1_11.94927902	blue9
chr1	1206130	1230838	1_12.16133169	blue7
chr1	1248311	1268311	1_12.58311907	blue7
chr1	1306704	1336404	1_13.21536159	blue6
chr1	1322977	1352654	1_13.42652645	blue8
chr1	1332654	1357506	1_13.42656993	blue2
chr1	1414437	1444167	1_14.29287522	blue5
chr1	1437847	1464355	1_14.51102854	blue3
chr1	1462251	1487113	1_14.72253792	blue3
chr1	1478531	1503368	1_14.93365929	blue5
chr1	1504655	1534259	1_15.14657923	blue3
chr1	1542729	1567538	1_15.5753644	blue3
chr1	1612064	1632069	1_16.22067005	blue3
chr1	1650050	1674886	1_16.64884056	blue4
chr1	1694465	1720897	1_17.07679121	blue1
chr1	1737341	1760564	1_17.50561945	blue4
chr1	1735699	1765429	1_17.50579339	blue4
chr1	1784448	1823699	1_18.13697788	blue5
chr1	1803699	1823704	1_18.13702136	blue3
chr1	1810778	1835555	1_18.20781009	blue4
chr1	1820307	1845049	1_18.35047223	blue2
chr1	1846072	1894744	1_18.56076982	blue5
chr1	1817413	1866083	1_18.56081331	blue5
chr1	1908837	1928841	1_19.18839676	blue2
chr1	1908847	1938414	1_19.18849399	blue4
chr1	1936557	1962928	1_19.49735601	blue2
chr1	1965525	1990453	1_19.8045157	blue4
chr1	2032298	2052302	1_20.42300544	blue4
