chromosome,name,middle,start,end
1,S1_10045,0.0,0,0
1,S1_128373,1e-07,0,0
1,S1_644637,2e-07,0,0
1,S1_1001395,3e-07,0,0
1,S1_1005413,4e-07,0,0
1,S1_1195734,5e-07,0,0
1,S1_1568364,6e-07,0,0
1,S1_1666173,7e-07,0,0
1,S1_1763337,8e-07,0,0
1,S1_1780412,9e-07,0,4329
1,S1_1782554,0.086579606,4329,12994
1,S1_1880827,0.17329903,12994,21670
1,S1_1957407,0.260105421,21670,26013
1,S1_2307256,0.260148905,26013,37430
1,S1_2467301,0.488447193,37430,71741
1,S1_2470513,0.946376023,71741,94640
1,S1_2537420,0.946419507,94640,98154
1,S1_2537494,1.016655633,98154,105198
1,S1_2544060,1.087313911,105198,112283
1,S1_2691818,1.158340591,112283,115834
1,S1_2691995,1.158340691,115834,115834
1,S1_2693676,1.158340791,115834,115834
1,S1_2693860,1.158340891,115834,115836
1,S1_3029139,1.158384375,115836,126306
1,S1_3078487,1.36772773,126306,147307
1,S1_3079131,1.578403999,147307,157843
1,S1_3081602,1.578447483,157843,163202
1,S1_3081692,1.685595158,163202,173873
1,S1_3131760,1.791865309,173873,179189
1,S1_3131841,1.791908793,179189,182721
1,S1_3136209,1.862513322,182721,189763
1,S1_3179316,1.932749448,189763,196768
1,S1_3179466,2.002617172,196768,220907
1,S1_3197122,2.415513632,220907,241554
1,S1_3409290,2.415557116,241554,251850
1,S1_3439736,2.621444082,251850,265574
1,S1_3440004,2.690032664,265574,272426
1,S1_3468707,2.758480529,272426,279266
1,S1_3468813,2.826841425,279266,282686
1,S1_3666927,2.826884909,282686,287915
1,S1_3702509,2.931420544,287915,298410
1,S1_3703021,3.036779952,298410,303680
1,S1_3708430,3.036823436,303680,308877
1,S1_3708690,3.140709233,308877,319233
1,S1_3710900,3.243945191,319233,324397
1,S1_3735219,3.243988675,324397,328942
1,S1_3736016,3.334847496,328942,338009
1,S1_3736125,3.425337914,338009,347033
1,S1_3739506,3.515319211,347033,351534
1,S1_3739759,3.515362695,351534,351538
1,S1_3742398,3.515406179,351538,378415
1,S1_3830498,4.052898947,378415,405292
1,S1_3886280,4.052942431,405292,405296
1,S1_4040810,4.052985915,405296,408565
1,S1_4041107,4.118312627,408565,415093
1,S1_4042975,4.18355237,415093,421612
1,S1_4045332,4.248684616,421612,424871
1,S1_4069263,4.2487281,424871,428199
1,S1_4133029,4.315246986,428199,434866
1,S1_4153225,4.382080525,434866,441568
1,S1_4163141,4.449282466,441568,444930
1,S1_4173235,4.44932595,444930,444935
1,S1_4187083,4.449369433,444935,444939
1,S1_4358833,4.449412917,444939,471955
1,S1_4445292,4.989679284,471955,498970
1,S1_4446759,4.989722767,498970,506097
1,S1_4453183,5.132221522,506097,520404
1,S1_4453277,5.275858708,520404,527591
1,S1_4511706,5.275955941,527591,527600
1,S1_4512687,5.276053174,527600,527607
