Chromosome	start	end	Name	colour
chr2	8626646	21586	2_0	blue4
chr8	0	10002	8_0	blue2
chr1	8165	33179	1_0.231778244	blue5
chr1	36028	60589	1_0.460304221	blue8
chr1	54219	83343	1_0.687778721	blue9
chr1	110472	133810	1_1.204750377	blue8
chr1	124450	151135	1_1.377908308	blue8
chr1	134914	175485	1_1.551629114	blue9
chr1	169814	199984	1_1.899824441	blue8
chr1	194051	220768	1_2.074174559	blue8
chr1	254036	277376	1_2.673740163	blue8
chr1	267757	308191	1_2.981888499	blue7
chr1	412961	436372	1_4.263702024	blue10
chr1	448122	478067	1_4.631101122	blue9
chr1	471433	501420	1_4.814359427	blue10
chr1	516380	546367	1_5.363655124	blue9
chr1	526367	556354	1_5.363698608	blue9
chr1	516389	546376	1_5.363742092	blue9
chr1	532057	558654	1_5.453539188	blue8
chr1	541042	567648	1_5.543433518	blue4
chr1	541042	564349	1_5.543477002	blue8
chr1	635584	655588	1_6.455863399	blue8
chr1	746812	771751	1_7.568143475	blue7
chr1	793263	823272	1_8.13269957	blue10
chr1	803267	826602	1_8.13269967	blue8
chr1	851857	881866	1_8.618601223	blue8
chr1	895439	920456	1_9.10454616	blue9
chr1	935179	958455	1_9.484531549	blue9
chr1	976235	1033070	1_10.23068703	blue7
chr1	1000974	1033082	1_10.230774	blue9
chr1	1040107	1069841	1_10.59839521	blue9
chr1	1136857	1163500	1_11.50188289	blue3
chr1	1148326	1178097	1_11.6809577	blue10
chr1	1219821	1249691	1_12.39689078	blue10
chr1	1284020	1304024	1_12.94022684	blue10
chr1	1329472	1369304	1_13.49409059	blue10
chr1	1357379	1377383	1_13.67381523	blue10
chr1	1371912	1398669	1_13.85283629	blue10
chr1	1410932	1434270	1_14.20934976	blue10
chr1	1464948	1488372	1_14.74950492	blue10
chr1	1470764	1497664	1_14.84205477	blue10
chr1	1483526	1507008	1_14.93528768	blue10
chr1	1559053	1582512	1_15.69055823	blue10
chr1	1664368	1705170	1_16.8474768	blue9
chr1	1694187	1717690	1_17.0418965	blue9
chr1	1722209	1752634	1_17.42632605	blue9
chr1	1752146	1772150	1_17.62148329	blue9
chr1	1790716	1810721	1_18.00719125	blue10
chr1	1804324	1834903	1_18.19608558	blue9
chr1	1824717	1851761	1_18.38243121	blue9
chr1	1884534	1909819	1_18.94536186	blue6
chr1	1897749	1928328	1_19.13033175	blue8
chr1	1897742	1923039	1_19.13037523	blue8
chr1	1939977	1959982	1_19.49980065	blue8
chr1	1939982	1959986	1_19.49984413	blue10
chr1	1939986	1959990	1_19.49988762	blue8
chr1	1958426	1978430	1_19.68428373	blue9
chr1	1976844	2007269	1_19.86846231	blue9
chr1	2027130	2052315	1_20.42313369	blue9
chr1	2034171	2064425	1_20.54422919	blue10
chr1	2050462	2075626	1_20.60464649	blue7
chr1	2051463	2081819	1_20.66625596	blue9
chr1	2069033	2099458	1_20.79035243	blue9
chr1	2058616	2089041	1_20.79039591	blue8
chr1	2069041	2089043	1_20.7904394	blue10
chr1	2181531	2201531	1_21.91531315	blue6
chr1	2181535	2201535	1_21.91535663	blue6
chr1	2215018	2241943	1_22.28477607	blue8
chr1	2263538	2293899	1_22.83897696	blue8
chr1	2366356	2393489	1_23.7993214	blue10
chr1	2388710	2412176	1_23.98713037	blue5
chr1	2459323	2484597	1_24.74595799	blue5
chr1	2461821	2503037	1_24.93035399	blue4
chr1	2573429	2593434	1_25.83432063	blue3
chr1	2591076	2631677	1_26.01078395	blue3
chr1	2570483	2611084	1_26.01082743	blue8
chr1	2644650	2664655	1_26.54653173	blue7
chr1	2662522	2703119	1_26.72524897	blue2
chr1	2686508	2716679	1_26.96511006	blue1
chr1	2698518	2718522	1_27.08520786	blue3
chr1	2734586	2784874	1_27.445883	blue5
chr1	2740672	2760676	1_27.50674541	blue9
chr1	2752750	2829425	1_27.62752625	blue2
chr1	2841205	2861209	1_28.51207599	blue4
chr1	2841209	2864496	1_28.51211947	blue2
chr1	2837931	2864503	1_28.51216296	blue4
chr1	2902940	2950101	1_29.4009972	blue6
chr1	2931502	2966301	1_29.46194657	blue2
chr1	2928169	2968274	1_29.58272742	blue2
chr1	2981050	3021403	1_30.11401594	blue2
chr1	2997833	3038393	1_30.28391197	blue2
chr1	3065043	3090176	1_30.80174225	blue2
chr1	3087731	3138527	1_30.9773383	blue1
chr1	3158970	3178974	1_31.68972736	blue1
chr1	3158974	3209270	1_31.68977084	blue3
chr1	3194290	3224323	1_32.04292957	blue3
chr1	3184190	3214303	1_32.04301654	blue8
chr1	3266928	3286932	1_32.76930769	blue5
chr1	3299653	3326237	1_33.12952749	blue4
chr1	3357232	3377237	1_33.67234844	blue1
